user_id,latitude,longitude,degree,clustering_coefficient,gender,twitter_friend_count,twitter_follower_count,population_density
224351,40.733596,-74.003139,2,0.0,male,142,168,4588.8335
131527,34.010279,-118.495523,0,0.0,male,656,249,3767.413
262430,34.075314,-118.253499,0,0.0,male,696,97,3767.413
199229,40.718363,-73.990817,0,0.0,male,377,218,11586.367
21174,40.741632,-73.978377,0,0.0,female,596,671,11586.367
2075,40.773007,-73.915886,0,0.0,male,460,322,8311.107
215044,40.729888,-74.000613,0,0.0,male,926,644,4588.8335
39012,40.736627,-73.990885,0,0.0,male,99,73,11586.367
86454,37.797572,-122.432625,0,0.0,male,557,159,3406.0361
33743,42.349654,-71.082174,0,0.0,male,625,637,3079.9568
205487,37.789526,-122.420881,0,0.0,male,383,303,3406.0361
152779,40.731996,-74.003582,0,0.0,male,178,100,4588.8335
16862,40.728156,-73.981262,0,0.0,male,220,136,11586.367
212760,40.733942,-74.002547,0,0.0,male,2012,495,4588.8335
3429,40.780589,-73.980739,0,0.0,male,978,913,8311.107
174344,40.780589,-73.980739,0,0.0,female,138,158,8311.107
113513,40.780589,-73.980739,0,0.0,female,210,116,8311.107
5819,40.780589,-73.980739,0,0.0,female,439,148,8311.107
62943,40.780589,-73.980739,0,0.0,male,104,45,8311.107
172587,40.780589,-73.980739,0,0.0,female,164,417,8311.107
93739,40.752294,-74.008758,0,0.0,female,156,65,2876.701
133734,40.772531,-73.983442,0,0.0,female,229,121,8311.107
135814,40.721724,-73.994553,0,0.0,male,1111,403,11586.367
152600,42.361186,-71.069111,0,0.0,male,588,705,3079.9568
123583,40.730832,-74.000951,0,0.0,male,294,139,4588.8335
3255,40.728271,-73.988659,0,0.0,male,751,631,11586.367
179103,42.350351,-71.079696,0,0.0,female,325,195,3079.9568
64874,37.792261,-122.409636,0,0.0,female,1369,568,3406.0361
151267,37.792261,-122.409636,0,0.0,male,227,56,3406.0361
200161,40.760781,-73.984337,0,0.0,female,204,480,8311.107
526,40.731698,-73.989227,0,0.0,male,259,116,11586.367
265356,40.731698,-73.989227,0,0.0,female,59,40,11586.367
48783,40.731698,-73.989227,0,0.0,female,105,41,11586.367
53211,40.731698,-73.989227,0,0.0,male,226,153,11586.367
155510,40.731698,-73.989227,0,0.0,male,254,181,11586.367
58159,40.733548,-73.991029,0,0.0,male,1977,1311,11586.367
75730,40.720408,-73.996878,0,0.0,female,354,616,11586.367
149002,40.732431,-74.001749,0,0.0,male,187,348,4588.8335
1837,37.764612,-122.432997,0,0.0,male,1373,1740,3406.0361
35526,37.767119,-122.429838,0,0.0,female,111,138,3406.0361
6362,40.086065,-75.230642,0,0.0,female,140,59,1959.6466
265657,42.347018,-71.098937,0,0.0,male,231,43,3079.9568
91930,40.750866,-73.986644,0,0.0,male,183,157,8311.107
102229,40.74531,-73.978421,0,0.0,female,423,340,11586.367
169129,37.797699,-122.406388,0,0.0,female,563,1430,3406.0361
160859,38.80435,-77.040607,0,0.0,male,1992,1515,2521.1626
146022,40.787853,-73.974724,0,0.0,female,29,29,8311.107
227802,40.746245,-73.977551,4,0.5,male,298,171,11586.367
136635,40.722259,-73.996997,0,0.0,female,108,73,11586.367
76955,40.7828,-73.973415,0,0.0,male,10,9,8311.107
230585,42.35165,-71.072053,0,0.0,female,1,0,3079.9568
212460,42.357362,-71.070039,0,0.0,male,91,43,3079.9568
121557,40.743644,-73.983888,0,0.0,male,136,151,11586.367
5601,42.365861,-71.103542,0,0.0,male,1023,300,3079.9568
93586,40.783251,-73.978201,0,0.0,female,339,1955,8311.107
36478,40.734668,-73.987763,0,0.0,female,327,8646,11586.367
190793,40.73007,-74.000354,0,0.0,male,628,440,4588.8335
124085,42.349845,-71.075007,0,0.0,male,318,263,3079.9568
198591,40.749611,-73.979746,0,0.0,male,58,36,11586.367
206585,42.350341,-71.079684,0,0.0,male,151,168,3079.9568
42242,37.771968,-122.431365,0,0.0,male,25,25,3406.0361
179225,34.098461,-118.32431,0,0.0,male,63,46,3767.413
3205,34.101762,-118.335339,0,0.0,male,360,439,3767.413
31751,34.101762,-118.335339,0,0.0,male,171,389,3767.413
199157,40.72158,-73.957637,0,0.0,female,339,397,11586.367
173274,40.72158,-73.957637,0,0.0,male,1516,840,11586.367
89268,37.771927,-122.431029,0,0.0,male,1627,3327,3406.0361
222898,34.157809,-118.397292,0,0.0,male,204,243,3767.413
133987,40.783946,-73.977886,0,0.0,male,799,1485,8311.107
225301,40.742334,-73.983855,0,0.0,female,186,97,11586.367
49715,40.724686,-73.987884,0,0.0,male,1982,767,11586.367
185979,40.729911,-73.988722,6,0.4,male,83,61,11586.367
116280,40.752726,-73.977711,1,0.0,male,730,799,8311.107
16043,40.745989,-73.860054,0,0.0,male,4626,5191,11586.367
103222,40.755913,-73.982406,0,0.0,male,143,123,8311.107
8416,33.996333,-118.477762,0,0.0,male,396,446,3435.0662
56829,40.774838,-73.953969,0,0.0,male,379,403,8311.107
93832,37.78742,-122.399358,0,0.0,male,101,141,3406.0361
91174,37.78742,-122.399358,0,0.0,male,49,22,3406.0361
24442,37.78742,-122.399358,0,0.0,male,130,79,3406.0361
92970,40.690141,-73.981977,0,0.0,female,1792,1347,11586.367
209511,40.753221,-73.983293,0,0.0,male,1123,486,8311.107
182911,34.090766,-118.387946,120,0.0242296918767507,female,135,27,3767.413
90161,34.079479,-118.102098,0,0.0,male,475,665,2421.2273
129,40.737049,-73.992906,0,0.0,male,7,31,11586.367
176516,34.100647,-118.334985,0,0.0,male,1930,652,3767.413
52467,33.953694,-118.396768,0,0.0,male,766,669,3435.0662
27406,40.719721,-74.00634,0,0.0,male,189,60,4588.8335
157606,40.734316,-73.993543,0,0.0,male,90,72,11586.367
222076,40.718191,-73.950197,0,0.0,female,698,855,11586.367
140110,40.728283,-73.987885,0,0.0,male,404,431,11586.367
209317,39.74396,-104.990516,0,0.0,male,1781,858,1846.2424
3614,40.727041,-73.983836,0,0.0,male,293,171,11586.367
124560,40.74939,-73.982862,0,0.0,male,286,668,11586.367
100100,37.798215,-122.407407,0,0.0,female,690,591,3406.0361
3299,40.752473,-73.994512,0,0.0,male,1512,996,8311.107
115599,40.741583,-73.997631,0,0.0,female,162,118,11586.367
96709,40.734225,-73.993703,0,0.0,male,2001,1162,11586.367
64872,40.757124,-73.989483,0,0.0,male,352,236,8311.107
210711,40.765023,-73.980196,0,0.0,male,96,76,8311.107
248357,40.765023,-73.980196,4,0.1666666666666666,male,130,109,8311.107
132684,40.765023,-73.980196,0,0.0,female,205,143,8311.107
96366,40.729155,-73.987029,0,0.0,male,388,340,11586.367
121290,34.117666,-118.26138,0,0.0,male,500,1024,3767.413
64139,40.719339,-74.004872,0,0.0,male,218,201,4588.8335
52386,40.719339,-74.004872,23,0.075098814229249,male,1844,1944,4588.8335
51795,40.719339,-74.004872,0,0.0,male,931,809,4588.8335
62016,37.779946,-122.389981,0,0.0,female,721,629,3406.0361
36646,38.91793,-77.023665,0,0.0,male,1347,1434,2521.1626
179853,40.762982,-73.975883,0,0.0,female,373,298,8311.107
30840,40.715013,-73.951464,0,0.0,male,204,87,11586.367
253109,40.715013,-73.951464,0,0.0,male,71,24,11586.367
50414,41.893575,-87.622815,0,0.0,male,424,43,5619.094
72008,39.739798,-104.962783,0,0.0,male,569,1294,1846.2424
77969,40.726354,-74.001956,0,0.0,female,288,715,4588.8335
202337,40.730657,-73.999979,0,0.0,female,1666,1457,11586.367
122412,39.718623,-104.987309,0,0.0,male,600,818,1846.2424
182613,40.716005,-73.997273,0,0.0,male,183,67,11586.367
2587,38.897579,-77.036712,0,0.0,male,197,371,2521.1626
222125,38.897579,-77.036712,0,0.0,female,188,225,2521.1626
81143,38.897579,-77.036712,0,0.0,male,719,841,2521.1626
248053,40.753728,-73.983688,0,0.0,male,425,987,8311.107
14990,40.753728,-73.983688,0,0.0,male,238,113,8311.107
129509,40.753728,-73.983688,0,0.0,male,54,55,8311.107
255238,40.753728,-73.983688,0,0.0,male,181,22,8311.107
50261,40.741008,-73.982409,0,0.0,male,156,368,11586.367
90384,40.728277,-73.999281,0,0.0,male,1100,593,11586.367
68435,40.70566,-74.002876,0,0.0,male,1762,1751,4588.8335
32264,40.72048,-73.99356,0,0.0,female,345,387,11586.367
118632,40.72048,-73.99356,0,0.0,male,380,494,11586.367
23219,40.72048,-73.99356,0,0.0,male,987,1104,11586.367
82,40.718836,-73.99539,0,0.0,male,1044,1056,11586.367
113848,40.722153,-73.986826,0,0.0,male,187,622,11586.367
28763,40.828277,-73.926553,0,0.0,male,666,194,8311.107
237342,40.828277,-73.926553,0,0.0,female,212,511,8311.107
209356,40.828277,-73.926553,0,0.0,male,670,397,8311.107
83960,40.828277,-73.926553,0,0.0,male,103,18,8311.107
148209,40.828277,-73.926553,0,0.0,male,225,374,8311.107
109197,40.828277,-73.926553,0,0.0,male,647,275,8311.107
121853,40.828277,-73.926553,0,0.0,female,198,219,8311.107
154569,40.828277,-73.926553,0,0.0,female,415,223,8311.107
114701,40.828277,-73.926553,0,0.0,male,180,82,8311.107
264004,40.828277,-73.926553,0,0.0,male,76,62,8311.107
183959,40.828277,-73.926553,0,0.0,female,239,224,8311.107
